word,pos,CEFR,freq,base_score,log_frequency,final_score
agency,noun,C2,79915539,6000.0,106.43809088614523,6106.438090886145
commission,verb,C2,78817488,6000.0,105.47744693471691,6105.477446934717
commission,noun,C2,78817488,6000.0,105.47744693471691,6105.477446934717
secure,verb,C2,62287766,6000.0,89.13484592838381,6089.134845928384
phase,noun,C2,40722940,6000.0,59.627365430865325,6059.627365430865
brief,noun,C2,32599674,6000.0,44.17911113827881,6044.179111138279
integration,noun,C2,32462658,6000.0,43.886667207461414,6043.886667207462
utility,noun,C2,28301196,6000.0,34.36130917521348,6034.361309175213
standing,noun,C2,27936222,6000.0,33.460063978268295,6033.460063978268
circuit,noun,C2,26917865,6000.0,30.881717517140146,6030.88171751714
curriculum,noun,C2,23992488,6000.0,22.89341108268684,6022.893411082687
mesh,verb,C2,23650447,6000.0,21.89642881832208,6021.896428818322
exact,verb,C2,22304937,6000.0,17.82942120082953,6017.8294212008295
parameter,noun,C2,22300838,6000.0,17.816660129341813,6017.8166601293415
regulatory,adjective,C2,22011107,6000.0,16.908670992386988,6016.908670992387
audit,noun,C2,20786243,6000.0,12.93318778029061,6012.933187780291
audit,verb,C2,20786243,6000.0,12.93318778029061,6012.933187780291
echo,verb,C2,19410462,6000.0,8.178425237062015,6008.178425237062
echo,noun,C2,19410462,6000.0,8.178425237062015,6008.178425237062
echo,verb,C2,19410462,6000.0,8.178425237062015,6008.178425237062
accessibility,noun,C2,19002278,6000.0,6.7027277108145995,6006.7027277108145
plane,noun,C2,17799728,6000.0,2.163451559469081,6002.163451559469
idiomatically,adverb,C2,0,6000.0,0.0,6000.0
luridly,adverb,C2,0,6000.0,0.0,6000.0
impressionistically,adverb,C2,0,6000.0,0.0,6000.0
confabulate,verb,C2,0,6000.0,0.0,6000.0
secularly,adverb,C2,0,6000.0,0.0,6000.0
vestigially,adverb,C2,0,6000.0,0.0,6000.0
arcanely,adverb,C2,0,6000.0,0.0,6000.0
interrogatively,adverb,C2,0,6000.0,0.0,6000.0
meager/meagre,adjective,C2,0,6000.0,0.0,6000.0
austerely,adverb,C2,0,6000.0,0.0,6000.0
unharried,adjective,C2,0,6000.0,0.0,6000.0
undemonstrative,adjective,C2,0,6000.0,0.0,6000.0
deprecatingly,adverb,C2,0,6000.0,0.0,6000.0
ephemerality,noun,C2,0,6000.0,0.0,6000.0
superfluously,adverb,C2,0,6000.0,0.0,6000.0
undemonstratively,adverb,C2,0,6000.0,0.0,6000.0
calamitously,adverb,C2,0,6000.0,0.0,6000.0
mundanity,noun,C2,0,6000.0,0.0,6000.0
ingratiatingly,adverb,C2,0,6000.0,0.0,6000.0
solitariness,noun,C2,0,6000.0,0.0,6000.0
misdemeanor/misdemanour,noun,C2,0,6000.0,0.0,6000.0
acrobatically,adverb,C2,0,6000.0,0.0,6000.0
ad-lib,verb,C2,0,6000.0,0.0,6000.0
